LAST SEEN   TYPE      REASON                   OBJECT                                                                        MESSAGE
15s         Normal    ScalingReplicaSet        deployment/apptest-9eyndrif-wso2-apk-common-controller-deployment             Scaled up replica set apptest-9eyndrif-wso2-apk-common-controller-deployment-97d849d4c from 0 to 1
15s         Normal    Scheduled                pod/apptest-9eyndrif-wso2-apk-config-ds-deployment-5b859c7798-rskf4           Successfully assigned apptest-9eyndrif/apptest-9eyndrif-wso2-apk-config-ds-deployment-5b859c7798-rskf4 to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
8s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-config-ds-deployment-5b859c7798-rskf4           MountVolume.SetUp failed for volume "config-ds-tls-volume" : secret "apptest-9eyndrif-wso2-apk-config-ds-server-cert" not found
16s         Normal    SuccessfulCreate         replicaset/apptest-9eyndrif-wso2-apk-config-ds-deployment-5b859c7798          Created pod: apptest-9eyndrif-wso2-apk-config-ds-deployment-5b859c7798-rskf4
16s         Normal    ScalingReplicaSet        deployment/apptest-9eyndrif-wso2-apk-config-ds-deployment                     Scaled up replica set apptest-9eyndrif-wso2-apk-config-ds-deployment-5b859c7798 from 0 to 1
15s         Normal    SuccessfulCreate         replicaset/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449f9649    Created pod: apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw
14s         Normal    Scheduled                pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw           Successfully assigned apptest-9eyndrif/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
7s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw           MountVolume.SetUp failed for volume "router-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-gateway-server-cert" not found
7s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw           MountVolume.SetUp failed for volume "adapter-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-adapter-server-cert" not found
7s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw           MountVolume.SetUp failed for volume "enforcer-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-enforcer-server-cert" not found
6s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw           MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-ratelimiter-server-cert" not found
14s         Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw           MountVolume.SetUp failed for volume "enforcer-health-check-volume" : failed to sync configmap cache: timed out waiting for the condition
15s         Normal    ScalingReplicaSet        deployment/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment               Scaled up replica set apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449f9649 from 0 to 1
16s         Normal    EnsuringLoadBalancer     service/apptest-9eyndrif-wso2-apk-gateway-service                             Ensuring load balancer
15s         Normal    SuccessfulCreate         replicaset/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bc        Created pod: apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd
14s         Normal    Scheduled                pod/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd           Successfully assigned apptest-9eyndrif/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
7s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd           MountVolume.SetUp failed for volume "router-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-gateway-server-cert" not found
6s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd           MountVolume.SetUp failed for volume "ratelimiter-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-ratelimiter-server-cert" not found
6s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd           MountVolume.SetUp failed for volume "common-controller-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-common-controller-server-cert" not found
15s         Normal    ScalingReplicaSet        deployment/apptest-9eyndrif-wso2-apk-ratelimiter-deployment                   Scaled up replica set apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bc from 0 to 1
15s         Normal    WaitForFirstConsumer     persistentvolumeclaim/redis-data-redis-master-0                               waiting for first consumer to be created before binding
14s         Normal    Provisioning             persistentvolumeclaim/redis-data-redis-master-0                               External provisioner is provisioning volume for claim "apptest-9eyndrif/redis-data-redis-master-0"
14s         Normal    ExternalProvisioning     persistentvolumeclaim/redis-data-redis-master-0                               Waiting for a volume to be created either by the external provisioner 'pd.csi.storage.gke.io' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
11s         Normal    ProvisioningSucceeded    persistentvolumeclaim/redis-data-redis-master-0                               Successfully provisioned volume pvc-46a6442a-a3e6-4d8d-b913-b4007da26d54
9s          Normal    Scheduled                pod/redis-master-0                                                            Successfully assigned apptest-9eyndrif/redis-master-0 to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
3s          Normal    SuccessfulAttachVolume   pod/redis-master-0                                                            AttachVolume.Attach succeeded for volume "pvc-46a6442a-a3e6-4d8d-b913-b4007da26d54"
20s         Normal    NoPods                   poddisruptionbudget/redis-master                                              No matching pods found
15s         Normal    SuccessfulCreate         statefulset/redis-master                                                      create Claim redis-data-redis-master-0 Pod redis-master-0 in StatefulSet redis-master success
14s         Normal    SuccessfulCreate         statefulset/redis-master                                                      create Pod redis-master-0 in StatefulSet redis-master successful
