LAST SEEN   TYPE      REASON                  OBJECT                                                                         MESSAGE
13s         Normal    NoPods                  poddisruptionbudget/apptest-5mjr3ks3-acp-pdb                                   No matching pods found
24s         Normal    Scheduled               pod/apptest-5mjr3ks3-deployer-22htk                                            Successfully assigned apptest-5mjr3ks3/apptest-5mjr3ks3-deployer-22htk to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
24s         Normal    Pulling                 pod/apptest-5mjr3ks3-deployer-22htk                                            Pulling image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/deployer:4.5"
22s         Normal    Pulled                  pod/apptest-5mjr3ks3-deployer-22htk                                            Successfully pulled image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/deployer:4.5" in 1.497s (1.497s including waiting). Image size: 130854140 bytes.
22s         Normal    Created                 pod/apptest-5mjr3ks3-deployer-22htk                                            Created container: deployer
22s         Normal    Started                 pod/apptest-5mjr3ks3-deployer-22htk                                            Started container deployer
24s         Normal    SuccessfulCreate        job/apptest-5mjr3ks3-deployer                                                  Created pod: apptest-5mjr3ks3-deployer-22htk
5s          Warning   BackoffLimitExceeded    job/apptest-5mjr3ks3-deployer                                                  Job has reached the specified backoff limit
10s         Normal    Scheduled               pod/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9              Successfully assigned apptest-5mjr3ks3/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9 to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
9s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9              MountVolume.SetUp failed for volume "enforcer-truststore-secret-volume" : failed to sync secret cache: timed out waiting for the condition
9s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9              MountVolume.SetUp failed for volume "log-conf-volume" : failed to sync configmap cache: timed out waiting for the condition
9s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9              MountVolume.SetUp failed for volume "adapter-truststore-consul-secret-volume" : failed to sync secret cache: timed out waiting for the condition
9s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9              MountVolume.SetUp failed for volume "enforcer-apikey-cert" : failed to sync secret cache: timed out waiting for the condition
9s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9              MountVolume.SetUp failed for volume "adapter-keystore-secret-volume" : failed to sync secret cache: timed out waiting for the condition
2s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9              MountVolume.SetUp failed for volume "enforcer-truststore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-enforcer-server-cert" not found
2s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9              MountVolume.SetUp failed for volume "adapter-keystore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-adapter-server-cert" not found
11s         Normal    SuccessfulCreate        replicaset/apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf             Created pod: apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf-wtzc9
11s         Normal    ScalingReplicaSet       deployment/apptest-5mjr3ks3-wso2-apk-adapter-deployment                        Scaled up replica set apptest-5mjr3ks3-wso2-apk-adapter-deployment-6fd65c85bf from 0 to 1
10s         Normal    SuccessfulCreate        replicaset/apptest-5mjr3ks3-wso2-apk-common-controller-deployment-745d86d97f   Created pod: apptest-5mjr3ks3-wso2-apk-common-controller-deployment-745q8wbt
10s         Normal    Scheduled               pod/apptest-5mjr3ks3-wso2-apk-common-controller-deployment-745q8wbt            Successfully assigned apptest-5mjr3ks3/apptest-5mjr3ks3-wso2-apk-common-controller-deployment-745q8wbt to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
2s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-common-controller-deployment-745q8wbt            MountVolume.SetUp failed for volume "adapter-webhook-server-cert" : secret "apptest-5mjr3ks3-wso2-apk-webhook-server-cert" not found
2s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-common-controller-deployment-745q8wbt            MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-ratelimiter-server-cert" not found
2s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-common-controller-deployment-745q8wbt            MountVolume.SetUp failed for volume "common-controller-keystore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-common-controller-server-cert" not found
11s         Normal    ScalingReplicaSet       deployment/apptest-5mjr3ks3-wso2-apk-common-controller-deployment              Scaled up replica set apptest-5mjr3ks3-wso2-apk-common-controller-deployment-745d86d97f from 0 to 1
10s         Normal    Scheduled               pod/apptest-5mjr3ks3-wso2-apk-config-ds-deployment-5777f5cb88-pkm9q            Successfully assigned apptest-5mjr3ks3/apptest-5mjr3ks3-wso2-apk-config-ds-deployment-5777f5cb88-pkm9q to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
3s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-config-ds-deployment-5777f5cb88-pkm9q            MountVolume.SetUp failed for volume "config-ds-tls-volume" : secret "apptest-5mjr3ks3-wso2-apk-config-ds-server-cert" not found
11s         Normal    SuccessfulCreate        replicaset/apptest-5mjr3ks3-wso2-apk-config-ds-deployment-5777f5cb88           Created pod: apptest-5mjr3ks3-wso2-apk-config-ds-deployment-5777f5cb88-pkm9q
11s         Normal    ScalingReplicaSet       deployment/apptest-5mjr3ks3-wso2-apk-config-ds-deployment                      Scaled up replica set apptest-5mjr3ks3-wso2-apk-config-ds-deployment-5777f5cb88 from 0 to 1
10s         Normal    SuccessfulCreate        replicaset/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cc4ccf     Created pod: apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cxtbjk
9s          Normal    Scheduled               pod/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cxtbjk            Successfully assigned apptest-5mjr3ks3/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cxtbjk to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
2s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cxtbjk            MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-ratelimiter-server-cert" not found
1s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cxtbjk            MountVolume.SetUp failed for volume "enforcer-keystore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-enforcer-server-cert" not found
1s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cxtbjk            MountVolume.SetUp failed for volume "adapter-truststore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-adapter-server-cert" not found
8s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cxtbjk            MountVolume.SetUp failed for volume "router-keystore-secret-volume" : failed to sync secret cache: timed out waiting for the condition
1s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cxtbjk            MountVolume.SetUp failed for volume "router-keystore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-gateway-server-cert" not found
10s         Normal    ScalingReplicaSet       deployment/apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment                Scaled up replica set apptest-5mjr3ks3-wso2-apk-gateway-runtime-deployment-6f78cc4ccf from 0 to 1
11s         Normal    EnsuringLoadBalancer    service/apptest-5mjr3ks3-wso2-apk-gateway-service                              Ensuring load balancer
9s          Normal    Scheduled               pod/apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment-7c67b45db9vwnz            Successfully assigned apptest-5mjr3ks3/apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment-7c67b45db9vwnz to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
1s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment-7c67b45db9vwnz            MountVolume.SetUp failed for volume "ratelimiter-keystore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-ratelimiter-server-cert" not found
1s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment-7c67b45db9vwnz            MountVolume.SetUp failed for volume "common-controller-truststore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-common-controller-server-cert" not found
1s          Warning   FailedMount             pod/apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment-7c67b45db9vwnz            MountVolume.SetUp failed for volume "router-truststore-secret-volume" : secret "apptest-5mjr3ks3-wso2-apk-gateway-server-cert" not found
9s          Normal    SuccessfulCreate        replicaset/apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment-7c67b45dbc         Created pod: apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment-7c67b45db9vwnz
10s         Normal    ScalingReplicaSet       deployment/apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment                    Scaled up replica set apptest-5mjr3ks3-wso2-apk-ratelimiter-deployment-7c67b45dbc from 0 to 1
9s          Normal    WaitForFirstConsumer    persistentvolumeclaim/redis-data-redis-master-0                                waiting for first consumer to be created before binding
9s          Normal    ExternalProvisioning    persistentvolumeclaim/redis-data-redis-master-0                                Waiting for a volume to be created either by the external provisioner 'pd.csi.storage.gke.io' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
9s          Normal    Provisioning            persistentvolumeclaim/redis-data-redis-master-0                                External provisioner is provisioning volume for claim "apptest-5mjr3ks3/redis-data-redis-master-0"
5s          Normal    ProvisioningSucceeded   persistentvolumeclaim/redis-data-redis-master-0                                Successfully provisioned volume pvc-32511a51-8cdb-4a64-9a7b-7f1ee5422886
4s          Normal    Scheduled               pod/redis-master-0                                                             Successfully assigned apptest-5mjr3ks3/redis-master-0 to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
13s         Normal    NoPods                  poddisruptionbudget/redis-master                                               No matching pods found
9s          Normal    SuccessfulCreate        statefulset/redis-master                                                       create Claim redis-data-redis-master-0 Pod redis-master-0 in StatefulSet redis-master success
9s          Normal    SuccessfulCreate        statefulset/redis-master                                                       create Pod redis-master-0 in StatefulSet redis-master successful
